"Área principal";"Tipo";"Subtipo";"Cliente";"Nombre";"Url";"Donde esta hosteado";"Esta activo";"Se le da soporte";"Sabemos que se usa";"Estado soporte cliente";"Ambiente";"Responsable";"Última actualización";"ID WebOps"
"Diseño TI";"SharePoint";"sharepoint";"Empresa Consultora Y Constructora Rucalhue Limitada";"Rucalhue - SharePoint";"https://construcalhue.sharepoint.com";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"09-07-2026";"12b30a9a-4973-483f-9387-154d9c7c6a25"
"Desarrollo TI";"App";"API";"Entel";"Api Visualizador Saas";"https://api-entel-visualizador-saas.tibox.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"c20e537c-9bca-4f09-b48c-bb8856384000"
"Desarrollo TI";"App";"Web";"Entel";"Titrack MOCE";"https://portal.moce.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"48fe1069-6d72-416e-ac80-084b9db232fe"
"Diseño TI";"WordPress";"wordpress";"Exportadora Fruttita SPA";"fruttita.cl";"https://fruttita.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"a7a9e5de-872c-43d9-8684-cf2366b6dd9c"
"Desarrollo TI";"App";"API";"Exportadora Rancagua";"API Frio";"https://apifrio.ranco.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"8c39f18b-9d17-4161-a8da-2e7eaca3eeb3"
"Desarrollo TI";"App";"Web";"Exportadora Rancagua";"Clientes";"https://cliente.ranco.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"5e6e68f7-a8dc-4bca-9b4e-5bcc7fc1ac12"
"Desarrollo TI";"App";"Web";"Exportadora Rancagua";"Gespack";"https://gespack.ranco.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"a0771b97-ca0b-4457-acdb-a85bf9a2e1f9"
"Desarrollo TI";"App";"Web";"Exportadora Rancagua";"Productores";"https://productores.ranco.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"d6882fe2-8b00-4f76-8cd4-68aede7eafda"
"Desarrollo TI";"App";"Web";"Exportadora Rancagua";"Sincronizacion Productores-Clientes-Calidad-Azu";"";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"99ed4f24-351e-42a1-9953-4f135ffafac1"
"Desarrollo TI";"App";"Web";"Exportadora Rancagua";"Sincronización V2";"https://sincronizadorranco.tibox.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"3614b273-7086-4910-8dc7-d947ae539e3c"
"Diseño TI";"SharePoint";"sharepoint";"Exportadora Rancagua";"Ranco - SharePoint";"https://rancocherries.sharepoint.com";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"09-07-2026";"702edaa9-e853-4d53-864f-a52d00832cc6"
"Desarrollo TI";"App";"Web";"External Group";"Sistema Gestion de Tickets";"https://soporte.externalgroup.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"57107d40-fc2e-4f78-a8aa-ef1e3171d193"
"Diseño TI";"SharePoint";"sharepoint";"Extractos Naturales Gelymar S.A.";"Gelymar - SharePoint";"https://gelymar.sharepoint.com/sites/Intranet/";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"08-07-2026";"41c2d880-5966-4da8-aa4c-c2b936276bb3"
"Desarrollo TI";"App";"Web";"FERROVIAL SERVICIOS CHILE SOCIEDAD LIMITADA";"Portal Cautivo";"https://ferrovialpc.tibox.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"78ffc80b-5f9a-49fe-af45-8f94e2356dcc"
"Diseño TI";"WordPress";"wordpress";"Fitonova SPA";"fitonova.cl";"https://fitonova.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"c27924a9-e9b9-4505-9606-51831f69f7b8"
"Desarrollo TI";"App";"Web";"GNL Chile S.A.";"Cumpleaños";"";"Sin dato en WebOps";"No";"Sin definir";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"7a01fe17-4d2e-4503-a14f-056ae48668e9"
"Desarrollo TI";"App";"Web";"GNL Chile S.A.";"Flujo de Caja";"https://cashflow.gnlchile.cl";"Servidor de GNL 172.30.31.17 (ip privada solo con acceso vpn de gnl)";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"f51d8253-0460-47fa-aa4d-b3e200b99e42"
"Desarrollo TI";"App";"Web";"GNL Chile S.A.";"Gestor Documental 2.0";"https://gnlgesdoc.tibox.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"b59c96b7-0d4c-4372-992c-cb51fcb72d85"
"Desarrollo TI";"App";"Web";"GNL Chile S.A.";"LectorNoticiasSP";"https://noticias.gnlchile.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"8811eec2-88e2-4cb7-9b8a-20739ede2893"
"Diseño TI";"WordPress";"wordpress";"GNL Chile S.A.";"GNL Sitio Corporativo";"https://www.gnlchile.com";"Sin dato en WebOps";"Sí";"Consultivo";"Confirmado";"Parcial";"";"";"29-07-2026";"178e5ef0-00ec-4e6b-b7ed-a6bbf7638302"
"Diseño TI";"SharePoint";"sharepoint";"GNL Chile S.A.";"GNL Chile S.A. (SharePoint)";"https://gnlc.sharepoint.com/sites/gestor/";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"07-07-2026";"21f1add8-fe9e-4f37-b58e-5609b6e93206"
"Diseño TI";"Sitio Web";"otro";"GNL Chile S.A.";"Aplicación Despacho GAS";"https://despachogas.gnlchile.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Parcial";"";"";"29-07-2026";"614b8582-b713-4150-8ccd-dc9106604adf"
"Diseño TI";"WordPress";"wordpress";"Growing SpA";"growing.cl";"https://growing.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Con soporte";"Confirmado";"Parcial";"";"";"29-07-2026";"e18dbb88-e765-4c86-bd57-df4358577ae6"
"Diseño TI";"SharePoint";"sharepoint";"Growing SpA";"Growing Sharepoint";"https://growingchile.sharepoint.com";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"09-07-2026";"de0d7e76-82ad-4f04-940c-d30e7abedbbb"
"Diseño TI";"WordPress";"wordpress";"h-export.com";"h-export.com";"https://h-export.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"c1c3abe2-55ef-4e16-88cf-03dbaade8c8d"
"Diseño TI";"WordPress";"wordpress";"Importadora Ripex SpA";"Ripex - Ecommerce";"https://ripex.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Con soporte";"Confirmado";"Con soporte";"";"";"29-07-2026";"152488ed-94f4-4a6c-b380-c5842e3c3749"
"Diseño TI";"WordPress";"wordpress";"Ines Escobar S.A";"ede.cl";"https://ede.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Consultivo";"Confirmado";"Parcial";"";"";"29-07-2026";"efa6671b-aa19-4da4-a1c9-3e78893af044"
"Diseño TI";"WordPress";"wordpress";"Ingenieria Delta Limitada";"id-ltda.cl";"https://id-ltda.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"04-07-2026";"74257128-c774-4137-ae46-79f6d104bc34"
"Diseño TI";"WordPress";"wordpress";"Ingeniería y Construcción GDS SPA";"gdsmoldajes.cl";"https://gdsmoldajes.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"04-07-2026";"9c6e3e92-e5b6-4215-b7a4-5b8b4e05dd7f"
"Diseño TI";"WordPress";"wordpress";"Ingenieria y Construccion MDL Ltda.";"constructoramdl.cl";"https://constructoramdl.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"3c6dc58e-5a37-4bf9-855a-891cd630aa49"
"Desarrollo TI";"App";"API";"Inversiones Corso S.A.";"Casos API (SharePoint)";"https://corsocasos.tibox.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"a496a70f-de18-4b1e-bc0d-69596413c923"
"Diseño TI";"SharePoint";"sharepoint";"Inversiones Corso S.A.";"Corso - SharePoint";"https://corsoinversiones.sharepoint.com/sites/corso/";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"09-07-2026";"669db233-a200-48f0-b4ae-23ca6329b9e0"
"Diseño TI";"WordPress";"wordpress";"Inversiones JR SpA";"grupojrortiz.com";"https://grupojrortiz.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Con soporte";"Confirmado";"Con soporte";"";"";"29-07-2026";"fad22900-b47f-4a26-b4fd-d3a0e92d7a79"
"Diseño TI";"WordPress";"wordpress";"Inversiones Timothy G Donnelly EIRL";"donmaq.com";"https://donmaq.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin soporte";"Probable";"Sin soporte";"";"";"29-07-2026";"f34bda07-4872-4832-b5ac-a006f8099423"
"Desarrollo TI";"App";"Web";"INVERSIONES Y SERVICIOS ABUD SITTLER LTDA";"Portal Ecuacion Productiva";"https://ecuacionproductiva.tiboxlab.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"d8f0ca98-9e10-42c3-83a3-15658e6e590a"
"Desarrollo TI";"App";"Web";"INVERSIONES Y SERVICIOS ABUD SITTLER LTDA";"Portal Visitas a Terreno";"https://visitas.cabud.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"16be49b5-7a73-4926-8868-6cf90f2ee1d3"
"Diseño TI";"SharePoint";"sharepoint";"INVERSIONES Y SERVICIOS ABUD SITTLER LTDA";"Cabud  SharePoint";"https://cabud.sharepoint.com";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"09-07-2026";"30607ad8-e4d4-4463-9ca0-b79ea95fbd7f"
"Diseño TI";"Sitio Web";"otro";"Isabel Larrain y Asociados Ltda.";"larrainarquitectos.cl";"https://larrainarquitectos.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"04-07-2026";"6e6643dd-ff98-48a9-8881-c35735b7b75f"
"Diseño TI";"WordPress";"wordpress";"JW Rental";"jwrental.cl";"https://jwrental.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"04-07-2026";"bbdcff2f-2ffb-439c-b7dc-7d96375966df"
"Diseño TI";"WordPress";"wordpress";"KILOMETRO CERO SPA.";"Ecommerce KM0";"https://bicicleteriakilometrocero.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Consultivo";"Confirmado";"Parcial";"";"";"29-07-2026";"55f1a12e-e6ea-4bdc-b394-25b50acd6aab"
"Diseño TI";"Sitio Web";"otro";"Kinast Family Wines SPA";"kinastfamilywines.cl";"https://kinastfamilywines.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"3a12d3ee-700b-4989-af2c-c808ef53ee2a"
"Diseño TI";"WordPress";"wordpress";"Lizama y Asociados SPA";"externalgroup.cl";"https://externalgroup.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Con soporte";"Confirmado";"Con soporte";"";"";"29-07-2026";"d383cfb4-d3dc-41ba-88df-1f10dd1a8c4e"
"Desarrollo TI";"App";"Web";"Lungo gastronomia Limitada";"Busqueda Descuentos";"https://lungodescuentos.tiboxlab.cl";"Servidor tibox 23.99.253.95";"No";"Sin definir";"Sin confirmar";"Sin definir";"Producción";"";"29-07-2026";"f8f6ba6d-925a-4680-b9e1-55ba7e1b4774"
"Diseño TI";"WordPress";"wordpress";"Lungo gastronomia Limitada";"lungo.cl";"https://lungo.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"97ab2802-1a2e-4a7b-bf69-33b9d9ad455d"
"Desarrollo TI";"App";"Web";"Meyer";"Portal productores";"https://productoresv2.meyersa.tibox.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"7f0a9a41-3726-4460-93db-52934d10fcd1"
"Desarrollo TI";"App";"Desktop";"Meyer";"Puchos Desktop";"";"Aplicación escritorio";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"4e1061af-6351-455d-a2e2-cc0ed2752ffc"
"Desarrollo TI";"App";"Web";"Meyer";"QcPacking";"https://qcpacking.meyersa.tibox.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"ada681ed-b18d-4e8a-a77d-12e7231201dd"
"Diseño TI";"Sitio Web";"otro";"Meyer";"meyersa.cl";"https://meyersa.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"04-07-2026";"7ac50ee6-1ecf-472a-b318-140ae596bfd3"
"Diseño TI";"WordPress";"wordpress";"Molina Travel";"molinatravel.cl";"https://molinatravel.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Probable";"Sin definir";"";"";"29-07-2026";"c4a6129e-419d-45ae-bb68-bbaff476e2dc"
"Diseño TI";"WordPress";"wordpress";"MSI Chile";"msichile.tiboxlab.cl";"https://msichile.tiboxlab.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Con soporte";"Confirmado";"Con soporte";"";"";"29-07-2026";"59909c76-6289-41f6-8ee8-3a7d81fe5b7e"
"Desarrollo TI";"App";"API";"Mujica y Docmac Ltda.";"GestDoc API";"https://mdsgapi.tibox.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"6b1fab4a-4ed8-45f2-b629-537a9facb105"
"Desarrollo TI";"App";"Web";"Mujica y Docmac Ltda.";"MCS";"https://scg.mdsg.cl";"WHM Tibox - 172-172-172-175";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"efabe82f-ee77-4f34-bb13-677d09ae4d94"
"Diseño TI";"WordPress";"wordpress";"Mujica y Docmac Ltda.";"Sitio Mujica Corporativo";"https://mujicaydocmac.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin soporte";"Confirmado";"Parcial";"";"";"29-07-2026";"f02e10e6-3c71-457d-9d6e-bec2c6d1b95e"
"Diseño TI";"Sitio Web";"otro";"Mujica y Docmac Ltda.";"mdsg.cl";"https://scg.mdsg.cl/mcs";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"04-07-2026";"b8b4171f-78ae-46cc-96b4-85952ca42b67"
"Desarrollo TI";"App";"Web";"Nova";"Gestor de asignaciones";"https://novatelecomgs.tibox.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"2784a318-6050-4ea9-be43-64b8e2d223b4"
"Desarrollo TI";"App";"Web";"Parque y Cementerios";"Sistema de gestion";"https://gestionparque.tiboxlab.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"1bf91f19-1704-4e0d-a755-2fd859ebdb82"
"Diseño TI";"WordPress";"wordpress";"Parque y Cementerios";"crematorioteno.cl";"https://crematorioteno.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin soporte";"Confirmado";"Parcial";"";"";"29-07-2026";"9cdd5b25-bcb6-4d30-bbf0-f07e7dfbf61f"
"Diseño TI";"Sitio Web";"otro";"Parque y Cementerios";"parquesycementerios.cl";"https://parquesycementerios.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Parcial";"";"";"29-07-2026";"a0273ea0-9a40-4361-a18f-d6fb66b6c701"
"Diseño TI";"WordPress";"wordpress";"Partners And Success SPA";"pands.cl";"https://www.pands.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"c0b360ec-e0aa-4cf0-bf2a-012e3cc90b8e"
"Diseño TI";"WordPress";"wordpress";"Partners And Success SPA";"syands.cl";"https://syands.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"bf829bab-e75d-43ce-a231-63223a472fe3"
"Desarrollo TI";"App";"Web";"Prize Proservice Ltda";"Nuevo Portal Interno";"https://portal.prize.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Con soporte";"Producción";"";"29-07-2026";"f3e67487-4456-4d75-946f-299caf31dd75"
"Desarrollo TI";"App";"Web";"Prize Proservice Ltda";"Portal Productores";"https://portalproductores.prize.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Con soporte";"Producción";"";"29-07-2026";"19d0f4ea-93e5-416c-9c1d-766fea9c04da"
"Diseño TI";"WordPress";"wordpress";"Prodata";"Prodata";"https://prodata.cl";"Sin dato en WebOps";"Sí";"Con soporte";"Confirmado";"Con soporte";"";"";"29-07-2026";"ff55899c-5b43-4d08-99b0-e224ff3abc69"
"Diseño TI";"SharePoint";"sharepoint";"Productos del Mar Ventisqueros S.A.";"Ventisqueros - SharePoint";"https://ventisqueros.sharepoint.com";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"09-07-2026";"6bd97555-4533-4697-9706-41ba770274a6"
"Diseño TI";"WordPress";"wordpress";"ROQUEFORT PACKING SERVICES SPA";"roquefort.cl";"https://roquefort.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"7993a835-243a-4ad1-a4d6-50dd8adbda13"
"Diseño TI";"WordPress";"wordpress";"SEGURIDAD FISICA MSM LTDA";"segfis.cl";"https://segfis.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"04-07-2026";"2dd02dda-79cd-46b8-b52a-1d77c6d541df"
"Desarrollo TI";"App";"Web";"Servicios Chilfresh Limitada";"Sistema de Gestion";"https://gestionchilfresh.tiboxlab.cl";"Servidor tibox 23.99.253.95";"Sí";"Sin soporte";"No utilizado";"Parcial";"Desarrollo";"";"29-07-2026";"27a43ca4-a7c7-47a8-93bf-cae7017a7b7b"
"Diseño TI";"WordPress";"wordpress";"Servicios Chilfresh Limitada";"chilfresh.cl";"https://chilfresh.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Con soporte";"Confirmado";"Parcial";"";"";"29-07-2026";"4a5de804-8431-49bb-b03a-bbaf7438624f"
"Desarrollo TI";"App";"Mobile";"Servimaule Ltda.";"Móvil";"https://movil.servimaule.com";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"e69fde6e-e451-49b4-b951-89929d169c7a"
"Desarrollo TI";"App";"Web";"Servimaule Ltda.";"Titrack OP";"https://titrack-sm.tibox.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"ca56ecf2-9be6-406b-afa9-04e2609a2ee2"
"Diseño TI";"WordPress";"wordpress";"Servimaule Ltda.";"servimaule.com";"https://servimaule.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"04-07-2026";"0e6acb02-3a2b-4f09-ba3f-48fe4a8668b7"
"Diseño TI";"SharePoint";"sharepoint";"Servimaule Ltda.";"Servimaule Ltda. (SharePoint)";"https://servimaule.sharepoint.com";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"07-07-2026";"102de51a-2726-474a-9dab-f9f347ce7dcc"
"Desarrollo TI";"App";"Web";"SII";"HefestoBoletaElectronica";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Sin soporte";"Producción";"";"29-07-2026";"b2e77090-5c4a-4e82-9aa1-7f8efc5f85b8"
"Diseño TI";"WordPress";"wordpress";"Sky Rental";"Ecolift";"https://ecolift.cl";"Sin dato en WebOps";"Sí";"Con soporte";"Confirmado";"Con soporte";"";"";"29-07-2026";"eda1895c-e633-49a7-a419-d937831edfe3"
"Diseño TI";"WordPress";"wordpress";"Sky Rental";"Sky Rental";"https://www.skyrental.cl";"Sin dato en WebOps";"Sí";"Con soporte";"Confirmado";"Con soporte";"";"";"29-07-2026";"19e18455-9019-4f7b-a2a0-1ad722ada56c"
"Diseño TI";"WordPress";"wordpress";"Sky Rental";"Sky Transportes";"https://www.skytransportes.cl";"Sin dato en WebOps";"Sí";"Con soporte";"Confirmado";"Con soporte";"";"";"29-07-2026";"4a1ca34b-c038-4167-897c-28a827481444"
"Diseño TI";"SharePoint";"sharepoint";"Sociedad de Profesionales VGM Outsourcing Limitada";"VGM SharePoint";"https://vgmconsultants.sharepoint.com/sites/intranet/";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"08-07-2026";"17876ed3-e789-4203-8574-1857e5341a11"
"Diseño TI";"SharePoint";"sharepoint";"SOCIEDAD EXPORTADORA VERFRUT SPA";"Verfrut - SharePoint";"https://verfrutsa.sharepoint.com/sites/portal";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"09-07-2026";"50ed9fe0-97a2-44f0-aa28-ddc56854c0b5"
"Diseño TI";"SharePoint";"sharepoint";"SOLOVERDE S.A";"SOLOVERDE S.A (SharePoint)";"https://cimaurbanochile.sharepoint.com/sites/RepositorioDocumentalCU/";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"08-07-2026";"4d3f210f-c510-4372-a2d9-b9e98ffe582e"
"Diseño TI";"WordPress";"wordpress";"TERRA RIEGOS SPA";"terrariegos.cl";"https://terrariegos.cl";"Sin dato en WebOps";"Sí";"Con soporte";"Confirmado";"Con soporte";"";"";"29-07-2026";"7f3b2eb8-67b3-4a62-8f9e-d5de511ec3b3"
"Desarrollo TI";"App";"API";"Tibox Chile Ltda.";"API General";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"5e77bcfe-e6c4-4ee4-a645-6c597997acb4"
"Desarrollo TI";"App";"API";"Tibox Chile Ltda.";"Api Mercado Publico";"https://api.mercado.publico.tibox.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"21f4725a-2377-4b4b-b67c-31ad30ba054f"
"Desarrollo TI";"App";"Web";"Tibox Chile Ltda.";"Aplicación Servidores Reportería";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"227e013b-f102-4abf-866c-3d474d32e834"
"Desarrollo TI";"App";"Web";"Tibox Chile Ltda.";"AppWeb Reportes Servidores";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"cacd0410-b5c1-443b-a909-7801ce4d92d7"
"Desarrollo TI";"App";"Web";"Tibox Chile Ltda.";"Automatización Informes";"";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"7c8c4a03-322d-4576-a1e1-9aa839915e99"
"Desarrollo TI";"App";"Web";"Tibox Chile Ltda.";"Buk";"https://tibox.buk.cl/";"Sin dato en WebOps";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"1a9a435b-575e-4caa-9839-ef8af7b451d1"
"Desarrollo TI";"App";"Web";"Tibox Chile Ltda.";"Buk Asistencia";"https://app.ctrlit.cl/ctrl/login/auth";"Sin dato en WebOps";"Sí";"Sin definir";"Sin confirmar";"Parcial";"Producción";"";"28-07-2026";"db5de686-5cfe-4534-9117-fcd09a79dd75"
"Desarrollo TI";"App";"Web";"Tibox Chile Ltda.";"CotizadorPipeline";"https://pipeline.tibox.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"b88a7601-eda8-4fe3-8045-d83f5b4e4b6f"
"Desarrollo TI";"App";"Web";"Tibox Chile Ltda.";"CRM";"https://crm.tibox.cl";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"49880557-856c-40db-88f8-ed15c2a72cb4"
"Desarrollo TI";"App";"Web";"Tibox Chile Ltda.";"Entel Elearning";"https://elearning.entel.tibox.cl";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"7d0dd2b4-5fc5-4433-a12d-a613d00564ac"
