"Área principal";"Tipo";"Subtipo";"Cliente";"Nombre";"Url";"Donde esta hosteado";"Esta activo";"Se le da soporte";"Sabemos que se usa";"Estado soporte cliente";"Ambiente";"Responsable";"Última actualización";"ID WebOps"
"Desarrollo TI";"App";"Web";"Tibox Chile Ltda.";"Titrack Viawines";"https://titrack-viawines.com";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"e51a11a3-74c0-4608-b89e-25e26bae536b"
"Desarrollo TI";"App";"Web";"Tibox Chile Ltda.";"WebOps-Tibox";"https://webops.tibox.cl/";"Vercel";"Sí";"Sin definir";"Sin confirmar";"Parcial";"Producción";"";"29-07-2026";"9fecc22f-8007-474a-a747-46b33c3c002a"
"Desarrollo TI";"App";"Web";"Tibox Chile Ltda.";"XML2PDF";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"703db64f-bef7-4e7b-89f4-ceb66eef6cd9"
"Diseño TI";"WordPress";"wordpress";"Tibox Chile Ltda.";"Mesa de Operaciones MOCE";"https://moce.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Con soporte";"Probable";"Parcial";"";"";"29-07-2026";"0f55f0fc-1c94-421a-975a-a5cf7b547681"
"Diseño TI";"WordPress";"wordpress";"Tibox Chile Ltda.";"Tibox  Corporativo";"https://www.tibox.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Con soporte";"Confirmado";"Parcial";"";"";"29-07-2026";"6ce64b7e-ea02-42f8-b4b7-2235e6c33756"
"Diseño TI";"WordPress";"wordpress";"Tibox Chile Ltda.";"tiboxlab.cl";"https://tiboxlab.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"04-07-2026";"3c52e0a0-26d7-4991-a4b4-e00afd42a9e9"
"Diseño TI";"WordPress";"wordpress";"TRIO RIEGO SPA";"trioriego.cl";"https://trioriego.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Sin confirmar";"Sin definir";"";"";"04-07-2026";"06ecce39-f081-4c92-bd67-dd81ffc09027"
"Diseño TI";"WordPress";"wordpress";"Tutti Berry SPA";"alimentoshimalaya.cl";"https://alimentoshimalaya.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"23f63bba-4bf2-4d1d-a20a-ce7b2f0fc67f"
"Desarrollo TI";"App";"API";"VIÑA SAN RAFAEL S.A.";"API SharePoint";"https://spapi.viawines.com";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"a7f7dbeb-cae5-4bd5-9a1b-da410b12bcf2"
"Desarrollo TI";"App";"Web";"VIÑA SAN RAFAEL S.A.";"Automatización Embotellado";"";"Sin dato en WebOps";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"a6705fb3-e3a8-4530-acca-c2fdf4efaf26"
"Desarrollo TI";"App";"Web";"VIÑA SAN RAFAEL S.A.";"Portal Cautivo";"https://portalcautivo.viawines.com";"Servidor tibox 23.99.253.95";"Sí";"Con soporte";"Confirmado";"Parcial";"Producción";"";"29-07-2026";"5edd9ee0-124c-4e94-aa07-d331d693d972"
"Desarrollo TI";"App";"Web";"VIÑA SAN RAFAEL S.A.";"Portal Tarja Quantec";"https://tarja.viawines.com";"Servidor tibox 23.99.253.95";"Sí";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"5da2dbac-de39-4a30-93ab-89247ec2c76d"
"Desarrollo TI";"App";"Web";"VIÑA SAN RAFAEL S.A.";"Romana";"";"Servidor tibox 23.99.253.95";"No";"Sin soporte";"No utilizado";"Parcial";"Producción";"";"29-07-2026";"13ac35ed-22cc-4751-bd07-71a306c12390"
"Diseño TI";"WordPress";"wordpress";"VIÑA SAN RAFAEL S.A.";"chilcaswines.com";"https://chilcaswines.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Parcial";"";"";"29-07-2026";"f327a1dc-7cf2-41c8-9ed8-a94e845fd4c7"
"Diseño TI";"WordPress";"wordpress";"VIÑA SAN RAFAEL S.A.";"chilensiswines.com";"https://chilensiswines.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Parcial";"";"";"29-07-2026";"870a8e5b-66a6-4fab-a55d-52d7d454d0cf"
"Diseño TI";"WordPress";"wordpress";"VIÑA SAN RAFAEL S.A.";"newworldwines.cl";"https://newworldwines.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Consultivo";"Probable";"Parcial";"";"";"29-07-2026";"6fee2c11-cec6-407a-96ea-be6c1713c2c6"
"Diseño TI";"WordPress";"wordpress";"VIÑA SAN RAFAEL S.A.";"ovejanegra.com";"https://ovejanegra.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Consultivo";"Confirmado";"Parcial";"";"";"29-07-2026";"23c82c24-2b8a-4303-bab0-ae57447a5fde"
"Diseño TI";"WordPress";"wordpress";"VIÑA SAN RAFAEL S.A.";"viawines.com";"https://viawines.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Parcial";"";"";"29-07-2026";"cd89a3c8-4947-4c19-85a5-25962ea99e9a"
"Diseño TI";"SharePoint";"sharepoint";"VIÑA SAN RAFAEL S.A.";"Via Wines - SharePoint";"https://viawiness.sharepoint.com/sites/Intranet";"Microsoft 365 / SharePoint Online";"Sí";"Sin definir";"Sin confirmar";"Parcial";"";"";"09-07-2026";"de6f5496-e47b-4c2c-aead-8aaee987e3bb"
"Diseño TI";"Sitio Web";"otro";"VIÑA SAN RAFAEL S.A.";"tourvirtual.viawines.com";"https://tourvirtual.viawines.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Probable";"Parcial";"";"";"29-07-2026";"297fae64-cdfe-48fd-80ba-748a76e265f0"
"Diseño TI";"WordPress";"wordpress";"Vista Hermosa Inversiones Forestales SPA (Tripan)";"vistaforestal.com";"https://vistaforestal.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"29d68772-8817-482d-86a8-c41e4e107195"
"Diseño TI";"WordPress";"wordpress";"Workids";"workids.cl";"https://workids.cl";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin soporte";"No utilizado";"Sin soporte";"";"";"29-07-2026";"222f9d29-7984-489f-a033-70b62e4629de"
"Diseño TI";"WordPress";"wordpress";"Yolo Group SpA";"yolo-grp.com";"https://yolo-grp.com/packing";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"Confirmado";"Sin definir";"";"";"29-07-2026";"409e7c45-6964-4c3e-8f98-607f5398b06b"
"Diseño TI";"WordPress";"wordpress";"Yolo Group SpA";"yolo-trd.com";"https://yolo-trd.com";"Hosting Tibox (cuenta no asociada)";"Sí";"Sin definir";"No utilizado";"Sin definir";"";"";"29-07-2026";"259b2573-9a78-44c4-875b-17d52f574c49"
